category,subcategory,name,current_price,raw_price,currency,discount,likes_count,is_new,brand,brand_url,codcountry,variation_0_color,variation_1_color,variation_0_thumbnail,variation_0_image,variation_1_thumbnail,variation_1_image,image_url,url,id,model
beauty,Faux cils,Kit de recourbe-cils Perm,23.56,39.85,USD,41,150,FALSE,,,,,,,,,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/2A/CD/57b2f490-848d-4e91-a117-d113c2654474.JPG,https://fr.newchic.com/eyelashes-4382/p-1296354.html,1296354,SKU955160
beauty,Sports Equipments,Fitness Buttocks Machine Corrects Buttocks Muscles Fitness Machine Exercise Pelvic Floor Muscles Beautiful Buttocks Clip Training Buttocks,19.99,39.99,USD,50,64,FALSE,,,"ID,MY,PH,SG,TH,VN",Rose,Violet,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/19/7D/aec3f6cf-5301-4c28-bfc4-7d5ed27c4459.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/19/7D/aec3f6cf-5301-4c28-bfc4-7d5ed27c4459.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/8E/9F/893d392f-d031-4e7d-b69b-baee82acbef3.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/8E/9F/893d392f-d031-4e7d-b69b-baee82acbef3.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/39/04/83d4da2b-c84f-4d34-8390-4ed636f8b467.jpg,https://fr.newchic.com/sports-equipments-9908/p-1678052.html,1678052,SKUF03789
beauty,Autres produits des soins personnels,OxymÃ¨tre de pouls portable Ã  pince,39.99,79.99,USD,50,113,FALSE,,,,,,,,,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/09/38/ad1da1ed-d3a4-42ad-a418-87f50607ec46.jpg,https://fr.newchic.com/other-personal-care-products-5723/p-1530616.html,1530616,SKUC51442
beauty,Kit de l'art pour ongles,Set Nail Art,48.35,77.86,USD,38,1186,FALSE,,,"PH,TH,VN",,,,,,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/78/52/8b42497a-b124-4e4d-b4b8-864a9671140d.JPG,https://fr.newchic.com/nail-art-set-4363/p-1076402.html,1076402,SKU418150
beauty,Soins des pieds,Dispositif de correction Hallux Valgus en silicone,11.99,24.35,USD,51,149,FALSE,,,"ID,MY,PH,SG,TH,VN",,,,,,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/F6/3F/4bc750f8-cdff-4c22-8d34-5a0609147cb2.jpg,https://fr.newchic.com/foot-care-4330/p-1200340.html,1200340,SKU764891
beauty,Fers Ã  friser pour cheveux,Fer Ã  friser professionnel,38.51,66.99,USD,43,140,FALSE,,,"ID,MY,PH,SG,TH,VN",Or rose,,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/EC/2A/afe56cd4-1713-438a-9049-2f6dc74d6a4c.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/EC/2A/afe56cd4-1713-438a-9049-2f6dc74d6a4c.jpg,,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/A0/FF/06900858-4170-4ad2-9af9-2a093664c609.jpg,https://fr.newchic.com/hair-curlers-4483/p-1663599.html,1663599,SKUE97846
beauty,Kit de l'art pour ongles,Ensemble de machines de photothÃ©rapie,11.49,19.99,USD,43,169,FALSE,,,"ID,MY,PH,SG,TH,VN",,,,,,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/32/FB/d7f0e76f-669f-4c43-adcf-4c036254a918.jpg,https://fr.newchic.com/nail-art-set-4363/p-1667767.html,1667767,SKUE78590
beauty,Ã‰pilateur,Ã‰pilateur laser permanent professionnel,79.99,141.98,USD,44,53,FALSE,,,"ID,MY,PH,SG,TH,VN",White,,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/05/81/02a8ebce-1565-47e3-a57e-d53580c16a97.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/05/81/02a8ebce-1565-47e3-a57e-d53580c16a97.jpg,,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/D7/97/f24f2ef8-bd90-4f55-b81f-d2f4a7dfde53.jpg,https://fr.newchic.com/epilator-4898/p-1695686.html,1695686,SKUF44536
beauty,Massage & Relaxation,Masseur relaxant musculaire,97.74,159.37,USD,39,121,FALSE,,,"ID,MY,PH,SG,TH,VN",Blue,Red,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/ser1/newchic/images/C6/B4/a0aa17a6-4657-4a89-b3ee-a422d62415aa.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/ser1/newchic/images/C6/B4/a0aa17a6-4657-4a89-b3ee-a422d62415aa.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/ser1/newchic/images/A3/FB/d6b5693b-53f4-4af2-a820-73a6332ce1de.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/ser1/newchic/images/A3/FB/d6b5693b-53f4-4af2-a820-73a6332ce1de.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/ser1/newchic/images/33/95/6bd60d79-7665-4de9-a0a6-7709c34aff65.jpg,https://fr.newchic.com/massager-and-relaxing-5725/p-1564336.html,1564336,SKUD40912
beauty,Sports Equipments,VÃ©lo Ã©lectrique pliant,1899.99,3999.99,USD,53,8,FALSE,Fiido,https://fr.newchic.com/fiido-brand-1753.html,"SG,VN",Black,White,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/1A/02/5a2a1273-c3b5-480b-bc68-27410cc455d6.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/1A/02/5a2a1273-c3b5-480b-bc68-27410cc455d6.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/2C/C2/a2608dea-559c-452e-85ee-9f5eb52d3968.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/2C/C2/a2608dea-559c-452e-85ee-9f5eb52d3968.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/F4/5A/905d5244-21d7-4f5c-96b1-cd20cce06eed.jpg,https://fr.newchic.com/fiido-sports-equipments-9908/p-1687595.html,1687595,SKUF20759
